figure_title,company,rank,unified_id,question_text,primary_priority,primary_use,source_types
Tags in study banks and compiled reports. Not the probability this company asks this.,Anthropic,6,UQ-0025,"Implement scaled dot-product attention with a causal mask, from scratch, in NumPy or PyTorch.",tokens_attention,review,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Anthropic,7,UQ-0050,An enterprise customer says “Claude hallucinates too much” in their RAG-based knowledge assistant. You're the applied engineer on the account. What happens in the first 48 hours?,grounding,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Anthropic,8,UQ-0061,"Build a rate limiter. Every ten minutes I'll add a requirement: per-tenant limits, burst allowances, then a sliding window. How do you keep your code from collapsing?",api_control,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Anthropic,9,UQ-0118,Design the serving stack for a Claude-scale LLM API. Maximise GPU utilisation without wrecking p99 latency.,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Anthropic,10,UQ-0122,"Design the tool surface for a coding agent: which tools exist, what their schemas look like, and how results come back.",agent_reliability,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Amazon,1,UQ-0001,"What is the KV cache, and what are its memory implications at scale? Derive the formula.",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Amazon,2,UQ-0005,Design an enterprise RAG assistant over 10M documents with per-user permissions.,data_plane,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Amazon,3,UQ-0008,"Compare tensor, pipeline, data, sequence and expert parallelism. When do you combine them?",system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Amazon,4,UQ-0010,How would you cut LLM serving cost by 10x? Enumerate every lever and rank them.,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Amazon,5,UQ-0015,Your p99 latency doubled after a deploy with no model change. Walk through the diagnosis.,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Amazon,6,UQ-0025,"Implement scaled dot-product attention with a causal mask, from scratch, in NumPy or PyTorch.",tokens_attention,review,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Amazon,7,UQ-0078,Design a multi-tenant inference platform that serves many foundation models to thousands of customers (Bedrock-shaped).,system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Amazon,8,UQ-0091,Design an agent that operates a web browser to complete multi-step tasks. How do you make it reliable enough to ship?,agent_reliability,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Amazon,9,UQ-0176,How would you decide an LLM-powered assistant is ready to launch to millions of customers?,evals,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Amazon,10,UQ-0251,"Why did transformers displace RNNs for language modelling, and what exactly does the KV cache buy you at inference time?",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Perplexity,1,UQ-0015,Your p99 latency doubled after a deploy with no model change. Walk through the diagnosis.,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Perplexity,2,UQ-0016,"Compare greedy, beam search, top-k, top-p and temperature sampling. When does each fail?",context_sampling,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Perplexity,3,UQ-0019,How do you attribute every claim in a generated answer to a specific retrieved span?,grounding,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Perplexity,4,UQ-0020,How do you choose between a sparse retriever (BM25) and a dense retriever? When do you need both?,hybrid_search,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Perplexity,5,UQ-0026,"What are TTFT, TPOT, ITL and throughput, and how do they trade against each other?",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Perplexity,6,UQ-0027,"What is a reranker, when should you use one, and what does a cross-encoder cost you?",hybrid_search,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Perplexity,7,UQ-0096,"Design an LLM gateway: routing across providers, failover, caching, budgets and rate limits.",api_control,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Perplexity,8,UQ-0094,"Design an answer engine: a user types a question and gets a cited, streamed answer. Your end-to-end budget is 3 seconds to a complete short answer.",system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Perplexity,9,UQ-0166,How do you keep an index fresh when the underlying corpus changes continuously?,data_plane,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Perplexity,10,UQ-0167,How does an answer engine handle breaking news - a query about something that happened 20 minutes ago?,data_plane,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Microsoft,1,UQ-0003,What is catastrophic forgetting and how do you mitigate it during fine-tuning?,fine_tuning,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Microsoft,2,UQ-0005,Design an enterprise RAG assistant over 10M documents with per-user permissions.,data_plane,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Microsoft,3,UQ-0009,Design permission-aware retrieval: users must never see content they can't access in the source system.,data_plane,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Microsoft,4,UQ-0010,How would you cut LLM serving cost by 10x? Enumerate every lever and rank them.,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Microsoft,5,UQ-0013,"What is prompt injection (direct and indirect), and what is your layered defence?",injection_gates,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Microsoft,6,UQ-0020,How do you choose between a sparse retriever (BM25) and a dense retriever? When do you need both?,hybrid_search,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Microsoft,7,UQ-0026,"What are TTFT, TPOT, ITL and throughput, and how do they trade against each other?",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Microsoft,8,UQ-0027,"What is a reranker, when should you use one, and what does a cross-encoder cost you?",hybrid_search,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Microsoft,9,UQ-0033,"A Copilot chat feature has a p95 latency budget of 3 seconds to first useful content. Where does the time go, and how do you cut it?",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Microsoft,10,UQ-0041,"A shipped Copilot feature that summarises job applicants for recruiters is accused of working worse for some groups of candidates. How do you establish whether that's true, and what do you do about it?",evals,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,NVIDIA,1,UQ-0001,"What is the KV cache, and what are its memory implications at scale? Derive the formula.",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,NVIDIA,2,UQ-0004,"Compare FP16, BF16, FP8, INT8, INT4 and FP4 for serving. What breaks at each step down?",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,NVIDIA,3,UQ-0007,What is continuous (in-flight) batching and why did it replace static batching?,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,NVIDIA,4,UQ-0008,"Compare tensor, pipeline, data, sequence and expert parallelism. When do you combine them?",system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,NVIDIA,5,UQ-0010,How would you cut LLM serving cost by 10x? Enumerate every lever and rank them.,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,NVIDIA,6,UQ-0018,Explain the prefill and decode phases. Why is prefill compute-bound and decode memory-bandwidth-bound?,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,NVIDIA,7,UQ-0127,Do the roofline maths: how many tokens/sec can one H100 produce for a 70B model at batch size 1?,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,NVIDIA,8,UQ-0169,"How does PagedAttention work, and what problem of KV-cache fragmentation does it solve?",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,NVIDIA,9,UQ-0231,What does TensorRT / TensorRT-LLM actually do to a model to make it faster - and when will it *not* help?,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,NVIDIA,10,UQ-0237,"What is speculative decoding? Why is output quality preserved, and when does it not help?",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Meta,1,UQ-0006,Design the serving stack for a consumer chat assistant at hundreds of millions of users.,system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Meta,2,UQ-0008,"Compare tensor, pipeline, data, sequence and expert parallelism. When do you combine them?",system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Meta,3,UQ-0017,Explain RoPE and how position interpolation / YaRN extend context beyond the trained length.,tokens_attention,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Meta,4,UQ-0104,Design the harmful-content detection system for Facebook and Instagram uploads.,system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Meta,5,UQ-0111,Design the recommendation system for Instagram Reels.,system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Meta,6,UQ-0145,"Explain the architectural choices in a Llama-class model: why grouped-query attention, RoPE, and SwiGLU instead of the vanilla 2017 Transformer?",tokens_attention,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Meta,7,UQ-0146,"Explain the difference between pre-training, supervised fine-tuning and preference optimisation.",fine_tuning,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Meta,8,UQ-0156,"How do vision-language models get images into an LLM: projector, cross-attention, or native tokens?",tokens_attention,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Meta,9,UQ-0174,How would you build the evaluation system for a Meta AI assistant before and after each model release?,evals,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Meta,10,UQ-0222,Walk me through a post-training recipe to turn a pretrained base model into a personalised assistant.,fine_tuning,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Palantir,1,UQ-0009,Design permission-aware retrieval: users must never see content they can't access in the source system.,data_plane,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Palantir,2,UQ-0085,Design a Text-to-SQL system over a warehouse with thousands of tables.,system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Palantir,3,UQ-0096,"Design an LLM gateway: routing across providers, failover, caching, budgets and rate limits.",api_control,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Palantir,4,UQ-0163,How do you evaluate an LLM workflow before and after giving it access to production operations?,evals,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Palantir,5,UQ-0221,"Users ask “how many open orders are blocked on a supplier issue?” Plain RAG gets this wrong. Why, and what's the right architecture?",system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Palantir,6,UQ-0271,"You're given exports from three customer systems, each with its own customer records. Write code to produce one deduplicated set of entities, and explain your design.",coding,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Palantir,7,UQ-0283,"Your platform must support multiple LLM providers, including deployments in restricted environments where only some models are available. How do you architect model selection?",system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Palantir,8,UQ-0095,Design an LLM agent that files and updates work orders in a customer's ERP - real writes to a production system. How do you make that safe?,agent_reliability,review,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Palantir,9,UQ-0100,Design human-in-the-loop approval for an agent that takes consequential actions.,injection_gates,review,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Palantir,10,UQ-0233,"What is an ontology in the Palantir sense, and why put LLM agents on top of one instead of on raw tables and documents?",system_design,review,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Cohere,1,UQ-0003,What is catastrophic forgetting and how do you mitigate it during fine-tuning?,fine_tuning,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Cohere,2,UQ-0002,What is a mixture-of-experts architecture and how does it scale capacity without scaling FLOPs?,tokens_attention,review,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Cohere,3,UQ-0012,"Implement a token-bucket rate limiter, then make it distributed.",api_control,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Cohere,4,UQ-0027,"What is a reranker, when should you use one, and what does a cross-encoder cost you?",hybrid_search,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Cohere,5,UQ-0029,"A bank wants the whole stack - model, RAG, agents - deployed air-gapped on their own GPUs. What actually changes versus your SaaS?",system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Cohere,6,UQ-0052,An enterprise customer wants to deploy your RAG system but has no labelled data. How do you evaluate it before and after launch?,evals,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Cohere,7,UQ-0053,An enterprise wants semantic search over ~100M documents but is balking at vector-index infrastructure cost. Walk me through embedding compression options and the math.,ann_indexes,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Cohere,8,UQ-0086,"Design a token-based rate limiter for a multi-tenant LLM API. Implement the core, then tell me what changes when it's distributed.",api_control,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Cohere,9,UQ-0089,"Design an agent that automates an enterprise workflow - say, drafting responses to RFPs using internal documents and a CRM. What does ""enterprise-grade"" add?",system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Cohere,10,UQ-0159,How do you build an eval set when there is no labelled ground truth and experts are expensive?,evals,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Google DeepMind,1,UQ-0006,Design the serving stack for a consumer chat assistant at hundreds of millions of users.,system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Google DeepMind,2,UQ-0008,"Compare tensor, pipeline, data, sequence and expert parallelism. When do you combine them?",system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Google DeepMind,3,UQ-0016,"Compare greedy, beam search, top-k, top-p and temperature sampling. When does each fail?",context_sampling,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Google DeepMind,4,UQ-0024,"Implement multi-head attention, then convert it to grouped-query attention.",tokens_attention,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Google DeepMind,5,UQ-0025,"Implement scaled dot-product attention with a causal mask, from scratch, in NumPy or PyTorch.",tokens_attention,review,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Google DeepMind,6,UQ-0063,Build the evaluation harness for a new frontier model release. What does it need to do?,evals,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Google DeepMind,7,UQ-0072,"Derive the gradient of cross-entropy loss with softmax inputs, and explain why we fuse them numerically.",classic_ml,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Google DeepMind,8,UQ-0120,"Design the serving system for a multimodal assistant (text + image input, streaming text out) at hundreds of millions of users.",system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Google DeepMind,9,UQ-0123,Design the training setup for a model that doesn't fit on one accelerator - say 70B parameters on a pod of accelerators.,system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Google DeepMind,10,UQ-0147,Explain the SVD and give two places it shows up in modern deep learning.,classic_ml,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,xAI,1,UQ-0001,"What is the KV cache, and what are its memory implications at scale? Derive the formula.",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,xAI,2,UQ-0006,Design the serving stack for a consumer chat assistant at hundreds of millions of users.,system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,xAI,3,UQ-0007,What is continuous (in-flight) batching and why did it replace static batching?,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,xAI,4,UQ-0012,"Implement a token-bucket rate limiter, then make it distributed.",api_control,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,xAI,5,UQ-0023,"Implement an LRU cache with O(1) get/put, then add TTL.",coding,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,xAI,6,UQ-0062,"Build an in-memory key-value store with SET/GET/DELETE, then add transactions with BEGIN/COMMIT/ROLLBACK - including nested transactions.",coding,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,xAI,7,UQ-0077,Design a deduplication pipeline for a web-scale pretraining corpus. It has to run as a streaming process.,system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,xAI,8,UQ-0080,"Design a rate limiter for an LLM API where cost scales with tokens, not requests.",api_control,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,xAI,9,UQ-0119,Design the serving stack for a consumer chatbot with real-time search over a social-media firehose.,system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,xAI,10,UQ-0135,Estimate the KV-cache memory to serve a 70B-class model at 128k context. What do you do when it doesn't fit?,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Databricks,1,UQ-0003,What is catastrophic forgetting and how do you mitigate it during fine-tuning?,fine_tuning,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Databricks,2,UQ-0005,Design an enterprise RAG assistant over 10M documents with per-user permissions.,data_plane,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Databricks,3,UQ-0009,Design permission-aware retrieval: users must never see content they can't access in the source system.,data_plane,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Databricks,4,UQ-0015,Your p99 latency doubled after a deploy with no model change. Walk through the diagnosis.,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Databricks,5,UQ-0042,A Structured Streaming job reads Kafka and writes to a Delta table. The cluster is killed mid-batch and restarts. Does the customer get duplicate rows? Explain at the level of the checkpoint and the transaction log.,data_plane,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Databricks,6,UQ-0034,"A customer insists on fine-tuning an open model on their support tickets because ""we want our own model."" You think RAG over their knowledge base solves it. What do you do?",fine_tuning,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Databricks,7,UQ-0085,Design a Text-to-SQL system over a warehouse with thousands of tables.,system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Databricks,8,UQ-0185,"Implement a thread-safe batching logger: many producer threads call `log(msg)`, and a background thread flushes batches of up to 100 messages every second or when full, whichever comes first.",coding,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Databricks,9,UQ-0207,Take a working GenAI agent prototype to production for an enterprise. What's your checklist between demo and launch?,system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Databricks,10,UQ-0262,You have a stream of billions of events and need the top-K most frequent keys with bounded memory. Exact answer impossible - what do you do?,system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Scale AI,1,UQ-0005,Design an enterprise RAG assistant over 10M documents with per-user permissions.,data_plane,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Scale AI,2,UQ-0011,"How would you evaluate an agent, as opposed to a single model response?",evals,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Scale AI,3,UQ-0014,What is RLVR (RL with verifiable rewards) and where does it beat a learned reward model?,fine_tuning,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Scale AI,4,UQ-0028,What is benchmark contamination and how do you guard against it?,evals,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Scale AI,5,UQ-0054,An eval pipeline you own suddenly reports a 6-point drop for a customer's model between Tuesday and Wednesday. The model didn't change. Debug it.,evals,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Scale AI,6,UQ-0064,"Build the task-lifecycle core of an annotation platform. Start simple; I'll add requirements: consensus of k annotators, then priority re-review, then annotator cooldowns.",system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Scale AI,7,UQ-0068,"Compare SFT, RLHF, DPO, and RLVR for improving an instruction-tuned model. What data does each need, and when would you pick which?",fine_tuning,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Scale AI,8,UQ-0079,Design a private LLM benchmark and leaderboard (SEAL-style). How do you keep it trustworthy as labs optimise against it?,evals,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Scale AI,9,UQ-0146,"Explain the difference between pre-training, supervised fine-tuning and preference optimisation.",fine_tuning,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Scale AI,10,UQ-0173,"How would you benchmark an LLM agent's tool use - say, for enterprise workflows composing 10+ APIs?",evals,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Together AI,1,UQ-0001,"What is the KV cache, and what are its memory implications at scale? Derive the formula.",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Together AI,2,UQ-0004,"Compare FP16, BF16, FP8, INT8, INT4 and FP4 for serving. What breaks at each step down?",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Together AI,3,UQ-0007,What is continuous (in-flight) batching and why did it replace static batching?,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Together AI,4,UQ-0018,Explain the prefill and decode phases. Why is prefill compute-bound and decode memory-bandwidth-bound?,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Together AI,5,UQ-0115,Design the scheduler for a continuous-batching inference engine.,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Together AI,6,UQ-0127,Do the roofline maths: how many tokens/sec can one H100 produce for a 70B model at batch size 1?,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Together AI,7,UQ-0144,"Explain speculative decoding. When does it help, when does it hurt, and why adapt the speculator to live traffic?",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Together AI,8,UQ-0169,"How does PagedAttention work, and what problem of KV-cache fragmentation does it solve?",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Together AI,9,UQ-0237,"What is speculative decoding? Why is output quality preserved, and when does it not help?",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Together AI,10,UQ-0244,When would you choose vLLM vs SGLang vs TensorRT-LLM vs a custom stack?,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Alibaba,1,UQ-0002,What is a mixture-of-experts architecture and how does it scale capacity without scaling FLOPs?,tokens_attention,review,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Alibaba,2,UQ-0014,What is RLVR (RL with verifiable rewards) and where does it beat a learned reward model?,fine_tuning,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Alibaba,3,UQ-0017,Explain RoPE and how position interpolation / YaRN extend context beyond the trained length.,tokens_attention,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Alibaba,4,UQ-0022,"How does Byte Pair Encoding work, and what are its failure modes (numbers, code, non-Latin scripts)?",tokens_attention,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Alibaba,5,UQ-0023,"Implement an LRU cache with O(1) get/put, then add TTL.",coding,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Alibaba,6,UQ-0024,"Implement multi-head attention, then convert it to grouped-query attention.",tokens_attention,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Alibaba,7,UQ-0028,What is benchmark contamination and how do you guard against it?,evals,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Alibaba,8,UQ-0156,"How do vision-language models get images into an LLM: projector, cross-attention, or native tokens?",tokens_attention,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Alibaba,9,UQ-0203,"Qwen2.5-VL uses a native dynamic-resolution ViT with window attention and multimodal RoPE (MRoPE). Why native resolution instead of fixed-size tiling, and what does MRoPE encode?",tokens_attention,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Alibaba,10,UQ-0331,A standard Alibaba coding round. Design a data structure for a fixed-capacity cache that supports get and put in O(1) and evicts the least-recently-used entry when full. Implement it in Python.,coding,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Moonshot AI,1,UQ-0002,What is a mixture-of-experts architecture and how does it scale capacity without scaling FLOPs?,tokens_attention,review,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Moonshot AI,2,UQ-0011,"How would you evaluate an agent, as opposed to a single model response?",evals,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Moonshot AI,3,UQ-0017,Explain RoPE and how position interpolation / YaRN extend context beyond the trained length.,tokens_attention,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Moonshot AI,4,UQ-0018,Explain the prefill and decode phases. Why is prefill compute-bound and decode memory-bandwidth-bound?,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Moonshot AI,5,UQ-0030,"A chat assistant re-sends a long conversation history on every turn. How do you avoid recomputing all of it, and what are the pitfalls?",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Moonshot AI,6,UQ-0139,Explain disaggregated prefill/decode serving and when it pays for itself.,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Moonshot AI,7,UQ-0142,"Explain prefix caching / prompt caching. When should you use it, and what invalidates a cached prefix?",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Moonshot AI,8,UQ-0218,"Training a trillion-parameter model, attention logits can blow up and destabilise the run. What is going on, and how does something like MuonClip address it?",tokens_attention,firm,study bank
