figure_title,company,priority,n_tagged_questions,n_firm
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Moonshot AI,evals,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Moonshot AI,system_design,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Moonshot AI,context_sampling,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Moonshot AI,fine_tuning,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Apple,serving_cost,7,7
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Apple,context_sampling,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Apple,fine_tuning,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Apple,agent_reliability,3,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Apple,unclear,2,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Apple,system_design,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Apple,evals,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor,agent_reliability,5,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor,serving_cost,4,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor,data_plane,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor,system_design,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor,coding,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor,unclear,2,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor,grounding,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor,evals,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor,api_control,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Sarvam AI,system_design,10,8
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Sarvam AI,fine_tuning,4,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Sarvam AI,tokens_attention,3,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Sarvam AI,serving_cost,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Sarvam AI,evals,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Sarvam AI,classic_ml,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon (AWS),classic_ml,9,9
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon (AWS),evals,3,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon (AWS),unclear,3,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon (AWS),system_design,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon (AWS),agent_reliability,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon (AWS),serving_cost,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon (AWS),tokens_attention,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cognition,agent_reliability,10,8
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cognition,evals,4,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cognition,system_design,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cognition,unclear,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cognition,project_defense,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Meta (Superintelligence Labs, FAIR, Llama)",system_design,11,9
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Meta (Superintelligence Labs, FAIR, Llama)",evals,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Meta (Superintelligence Labs, FAIR, Llama)",tokens_attention,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Meta (Superintelligence Labs, FAIR, Llama)",fine_tuning,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Meta (Superintelligence Labs, FAIR, Llama)",serving_cost,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Meta (Superintelligence Labs, FAIR, Llama)",project_defense,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Meta (Superintelligence Labs, FAIR, Llama)",coding,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Meta (Superintelligence Labs, FAIR, Llama)",unclear,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",ElevenLabs,system_design,13,9
"Priority counts inside a company's tag pile. Bank tags, not interviews.",ElevenLabs,evals,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",ElevenLabs,serving_cost,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",ElevenLabs,coding,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",ElevenLabs,api_control,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google DeepMind and Google AI,classic_ml,7,6
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google DeepMind and Google AI,system_design,5,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google DeepMind and Google AI,evals,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google DeepMind and Google AI,unclear,2,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google DeepMind and Google AI,hybrid_search,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google DeepMind and Google AI,coding,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Character.AI,serving_cost,8,7
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Character.AI,system_design,3,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Character.AI,injection_gates,3,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Character.AI,context_sampling,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Character.AI,evals,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Mistral AI,serving_cost,6,6
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Mistral AI,tokens_attention,4,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Mistral AI,fine_tuning,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Mistral AI,system_design,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Mistral AI,agent_reliability,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Sierra,injection_gates,5,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Sierra,agent_reliability,5,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Sierra,evals,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Sierra,system_design,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Sierra,unclear,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Sierra,project_defense,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Sierra,grounding,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Hugging Face,system_design,6,5
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Hugging Face,fine_tuning,5,5
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Hugging Face,tokens_attention,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Hugging Face,unclear,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Hugging Face,serving_cost,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Hugging Face,injection_gates,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",DeepSeek,fine_tuning,5,5
"Priority counts inside a company's tag pile. Bank tags, not interviews.",DeepSeek,tokens_attention,4,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",DeepSeek,system_design,3,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",DeepSeek,serving_cost,3,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",DeepSeek,coding,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Zhipu AI,tokens_attention,3,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Zhipu AI,evals,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Zhipu AI,fine_tuning,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Zhipu AI,system_design,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Zhipu AI,serving_cost,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Zhipu AI,coding,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Zhipu AI,agent_reliability,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Glean,data_plane,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Glean,system_design,3,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Glean,fine_tuning,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Glean,hybrid_search,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Glean,agent_reliability,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Glean,chunking,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Glean,evals,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Glean,coding,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Abridge,system_design,5,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Abridge,grounding,4,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Abridge,evals,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Abridge,agent_reliability,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Abridge,data_plane,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Abridge,serving_cost,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Harvey,chunking,4,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Harvey,grounding,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Harvey,evals,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Harvey,agent_reliability,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Harvey,serving_cost,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Harvey,context_sampling,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Harvey,unclear,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Harvey,system_design,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Harvey,data_plane,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Mistral,serving_cost,5,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Mistral,fine_tuning,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Mistral,system_design,3,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Mistral,tokens_attention,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Mistral,coding,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Mistral,agent_reliability,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Groq,serving_cost,6,6
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Groq,system_design,5,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Groq,context_sampling,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Groq,project_defense,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor (Anysphere),agent_reliability,5,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor (Anysphere),serving_cost,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor (Anysphere),coding,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor (Anysphere),unclear,2,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor (Anysphere),evals,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor (Anysphere),data_plane,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cursor (Anysphere),system_design,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Consumer-Scale ML Companies (Uber, Netflix, LinkedIn, Airbnb, Pinterest, Spotify)",system_design,9,9
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Consumer-Scale ML Companies (Uber, Netflix, LinkedIn, Airbnb, Pinterest, Spotify)",evals,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Consumer-Scale ML Companies (Uber, Netflix, LinkedIn, Airbnb, Pinterest, Spotify)",classic_ml,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Consumer-Scale ML Companies (Uber, Netflix, LinkedIn, Airbnb, Pinterest, Spotify)",coding,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Consumer-Scale ML Companies (Uber, Netflix, LinkedIn, Airbnb, Pinterest, Spotify)",project_defense,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Figure AI,system_design,4,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Figure AI,classic_ml,2,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Figure AI,agent_reliability,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Figure AI,serving_cost,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Figure AI,evals,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Figure AI,fine_tuning,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Waymo,system_design,7,6
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Waymo,evals,4,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Waymo,serving_cost,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google,system_design,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google,classic_ml,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google,tokens_attention,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google,project_defense,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google,serving_cost,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google,evals,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Tesla,system_design,4,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Tesla,classic_ml,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Tesla,coding,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Tesla,evals,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Tesla,project_defense,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Zhipu AI (GLM),system_design,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Zhipu AI (GLM),tokens_attention,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Zhipu AI (GLM),serving_cost,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Zhipu AI (GLM),evals,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Zhipu AI (GLM),coding,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Moonshot AI (Kimi),serving_cost,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Moonshot AI (Kimi),tokens_attention,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Moonshot AI (Kimi),system_design,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Moonshot AI (Kimi),context_sampling,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Moonshot AI (Kimi),fine_tuning,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Moonshot AI (Kimi),evals,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Alibaba (Qwen),tokens_attention,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Alibaba (Qwen),fine_tuning,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Alibaba (Qwen),serving_cost,1,1
